Index,Title,Description,Year,Movie Suitability,Category,Minutes,Rating,Votes,Director,Stars,Gross
139,Downfall,"
Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",2004,R,"
Biography, Drama, History            ",156 min,8.2,"335,531",Oliver Hirschbiegel,"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler']",$5.51M
140,Howl's Moving Castle,"
    When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",2004,PG,"
Animation, Adventure, Family            ",119 min,8.2,"343,613",Hayao Miyazaki,"['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin', 'Akihiro Miwa']",$4.71M
141,A Beautiful Mind,"
    After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",2001,PG-13,"
Biography, Drama            ",135 min,8.2,"862,467",Ron Howard,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']",$170.74M
142,"Lock, Stock and Two Smoking Barrels","
    Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",1998,R,"
Action, Comedy, Crime            ",107 min,8.2,"542,882",Guy Ritchie,"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran', 'Jason Statham']",$3.90M
143,L.A. Confidential,"
    As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",1997,R,"
Crime, Drama, Mystery            ",138 min,8.2,"539,437",Curtis Hanson,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'Kim Basinger']",$64.62M
144,The Bandit,"
    Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",1996,Not rated,"
Crime, Drama, Thriller            ",128 min,8.2,"65,510",Yavuz Turgul,"['Sener Sen', 'Ugur Yücel', 'Sermin Hürmeriç', 'Yesim Salkim']","65,510"
145,Heat,"
    A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.",1995,R,"
Crime, Drama, Thriller            ",170 min,8.2,"588,367",Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']",$67.44M
146,Casino,"
    A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",1995,R,"
Crime, Drama            ",178 min,8.2,"474,822",Martin Scorsese,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']",$42.44M
147,Unforgiven,"
    Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",1992,R,"
Drama, Western            ",130 min,8.2,"381,559",Clint Eastwood,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris']",$101.16M
148,Indiana Jones and the Last Crusade,"
    In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",1989,PG-13,"
Action, Adventure            ",127 min,8.2,"700,809",Steven Spielberg,"['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott']",$197.17M
