Index,Title,Description,Year,Movie Suitability,Category,Minutes,Rating,Votes,Director,Stars,Gross
201,Million Dollar Baby,"
    A determined woman works with a hardened boxing trainer to become a professional.",2004,PG-13,"
Drama, Sport            ",132 min,8.1,"644,491",Clint Eastwood,"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel']",$100.49M
202,Hotel Rwanda,"
Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",2004,PG-13,"
Biography, Drama, History            ",121 min,8.1,"337,942",Terry George,"['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali']",$23.53M
203,Before Sunset,"
    Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",2004,R,"
Drama, Romance            ",80 min,8.1,"240,967",Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemoine Torrès']",$5.82M
204,Memories of Murder,"
    In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",2003,Not Rated,"
Crime, Drama, Mystery            ",132 min,8.1,"146,600",Bong Joon Ho,"['Kang-ho Song', 'Kim Sang-kyung', 'Roe-ha Kim', 'Jae-ho Song']",$0.01M
205,Kill Bill: Vol. 1,"
    After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",2003,R,"
Action, Crime, Drama            ",111 min,8.1,"1,016,382",Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']",$70.10M
206,Finding Nemo,"
    After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",2003,G,"
Animation, Adventure, Comedy            ",100 min,8.1,"962,659",Andrew Stanton,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']",$380.84M
207,Catch Me If You Can,"
    Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",2002,PG-13,"
Biography, Crime, Drama            ",141 min,8.1,"852,980",Steven Spielberg,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen']",$164.62M
208,Amores Perros,"
    A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",2000,R,"
Drama, Thriller            ",154 min,8.1,"226,658",Alejandro G. Iñárritu,"['Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo', 'Álvaro Guerrero']",$5.38M
209,"Monsters, Inc.","
    In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",2001,G,"
Animation, Adventure, Comedy            ",92 min,8.1,"828,423",Pete Docter,"['Billy Crystal', 'John Goodman', 'Mary Gibbs', 'Steve Buscemi']",$289.92M
210,The Sixth Sense,"
    A boy who communicates with spirits seeks the help of a disheartened child psychologist.",1999,PG-13,"
Drama, Mystery, Thriller            ",107 min,8.1,"922,142",M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams']",$293.51M
211,The Truman Show,"
    An insurance salesman discovers his whole life is actually a reality TV show.",1998,PG,"
Comedy, Drama            ",103 min,8.1,"959,244",Peter Weir,"['Jim Carrey', 'Ed Harris', 'Laura Linney', 'Noah Emmerich']",$125.62M
212,The Big Lebowski,"
    Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",1998,R,"
Comedy, Crime, Sport            ",117 min,8.1,"743,674",Joel Coen,"['Jeff Bridges', 'John Goodman', 'Julianne Moore', 'Steve Buscemi']",$17.50M
213,In the Mood for Love,"
    Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",2000,PG,"
Drama, Romance            ",98 min,8.1,"129,222",Kar-Wai Wong,"['Tony Chiu-Wai Leung', 'Maggie Cheung', 'Ping Lam Siu', ""Tung Cho 'Joe' Cheung""]",$2.73M
214,Trainspotting,"
    Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",1996,R,"
Drama            ",93 min,8.1,"642,394",Danny Boyle,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Kevin McKidd']",$16.50M
215,Fargo,"
    Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.",1996,R,"
Crime, Drama, Thriller            ",98 min,8.1,"627,523",Joel Coen,"['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare']",$24.61M
216,La Haine,"
    24 hours in the lives of three young men in the French suburbs the day after a violent riot.",1995,Not Rated,"
Crime, Drama            ",98 min,8.1,"154,320",Mathieu Kassovitz,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui', 'Abdel Ahmed Ghili']",$0.31M
217,Before Sunrise,"
    A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",1995,R,"
Drama, Romance            ",101 min,8.1,"278,106",Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl']",$5.54M
218,Jurassic Park,"
    A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.",1993,PG-13,"
Action, Adventure, Sci-Fi            ",127 min,8.1,"882,253",Steven Spielberg,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']",$402.45M
219,In the Name of the Father,"
    A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.",1993,R,"
Biography, Crime, Drama            ",133 min,8.1,"160,863",Jim Sheridan,"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie', 'Philip King']",$25.01M
220,Dead Poets Society,"
    Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.",1989,PG,"
Comedy, Drama            ",128 min,8.1,"435,655",Peter Weir,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke', 'Josh Charles']",$95.86M
221,Stand by Me,"
    After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",1986,R,"
Adventure, Drama            ",89 min,8.1,"368,629",Rob Reiner,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman', ""Jerry O'Connell""]",$52.29M
222,Platoon,"
    Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",1986,R,"
Drama, War            ",120 min,8.1,"386,583",Oliver Stone,"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe', 'Keith David']",$138.53M
223,"Paris, Texas","
    Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",1984,R,"
Drama            ",145 min,8.1,"94,538",Wim Wenders,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell', 'Sam Berry']",$2.18M
224,Nausicaä of the Valley of the Wind,"
    Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.",1984,PG,"
Animation, Adventure, Fantasy            ",117 min,8.1,"154,539",Hayao Miyazaki,"['Sumi Shimamoto', 'Mahito Tsujimura', 'Hisako Kyôda', 'Gorô Naya']",$0.50M
225,The Thing,"
    A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.",1982,R,"
Horror, Mystery, Sci-Fi            ",109 min,8.1,"377,505",John Carpenter,"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']",$13.78M
226,Blade Runner,"
    A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",1982,R,"
Action, Sci-Fi, Thriller            ",117 min,8.1,"703,804",Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos']",$32.87M
227,The Elephant Man,"
    A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",1980,PG,"
Biography, Drama            ",124 min,8.1,"223,743",David Lynch,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']","223,743"
228,Monty Python's Life of Brian,"
    Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",1979,R,"
Comedy            ",94 min,8.1,"372,582",Terry Jones,"['Graham Chapman', 'John Cleese', 'Michael Palin', 'Terry Gilliam']",$20.05M
229,The Deer Hunter,"
    An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.",1978,R,"
Drama, War            ",183 min,8.1,"316,108",Michael Cimino,"['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']",$48.98M
230,Rocky,"
    A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.",1976,PG,"
Drama, Sport            ",120 min,8.1,"527,007",John G. Avildsen,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']",$117.24M
231,Network,"
    A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.",1976,R,"
Drama            ",121 min,8.1,"147,170",Sidney Lumet,"['Faye Dunaway', 'William Holden', 'Peter Finch', 'Robert Duvall']","147,170"
232,Barry Lyndon,"
    An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.",1975,PG,"
Adventure, Drama, History            ",185 min,8.1,"152,990",Stanley Kubrick,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger']","152,990"
233,Chinatown,"
    A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",1974,R,"
Drama, Mystery, Thriller            ",130 min,8.1,"299,614",Roman Polanski,"['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry Lopez']",$8.49M
234,Cool Hand Luke,"
    A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",1967,GP,"
Crime, Drama            ",127 min,8.1,"164,458",Stuart Rosenberg,"['Paul Newman', 'George Kennedy', 'Strother Martin', 'J.D. Cannon']",$16.22M
235,Persona,"
    A nurse is put in charge of a mute actress and finds that their personae are melding together.",1966,Not Rated,"
Drama, Thriller            ",83 min,8.1,"106,123",Ingmar Bergman,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook', 'Gunnar Björnstrand']","106,123"
236,Andrei Rublev,"
    The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",1966,R,"
Biography, Drama, History            ",205 min,8.1,"48,383",Andrei Tarkovsky,"['Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko', 'Nikolay Sergeev']",$0.10M
237,The Battle of Algiers,"
    In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",1966,Not Rated,"
Drama, War            ",121 min,8.1,"54,342",Gillo Pontecorvo,"['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi', 'Samia Kerbash']",$0.06M
238,The 400 Blows,"
    A young boy, left without attention, delves into a life of petty crime.",1959,Not Rated,"
Crime, Drama            ",99 min,8.1,"107,667",François Truffaut,"['Jean-Pierre Léaud', 'Albert Rémy', 'Claire Maurier', 'Guy Decomble']","107,667"
239,Ben-Hur,"
    After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",1959,G,"
Adventure, Drama, History            ",212 min,8.1,"222,596",William Wyler,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']",$74.70M
240,The Bridge on the River Kwai,"
    British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",1957,PG,"
Adventure, Drama, War            ",161 min,8.1,"206,323",David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",$44.91M
241,Rififi,"
    Four men plan a technically perfect crime, but the human element intervenes...",1955,Not Rated,"
Crime, Drama, Thriller            ",118 min,8.1,"30,313",Jules Dassin,"['Jean Servais', 'Carl Möhner', 'Robert Manuel', 'Janine Darcey']",$0.06M
242,On the Waterfront,"
    An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.",1954,Approved,"
Crime, Drama, Thriller            ",108 min,8.1,"144,296",Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger']",$9.60M
243,The Wages of Fear,"
    In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",1953,Not Rated,"
Adventure, Drama, Thriller            ",131 min,8.1,"55,756",Henri-Georges Clouzot,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck', 'Folco Lulli']","55,756"
244,The Third Man,"
    Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",1949,Approved,"
Film-Noir, Mystery, Thriller            ",93 min,8.1,"161,156",Carol Reed,"['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard']",$0.45M
245,Rebecca,"
    A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.",1940,Approved,"
Drama, Mystery, Romance            ",130 min,8.1,"126,102",Alfred Hitchcock,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']",$4.36M
246,Mr. Smith Goes to Washington,"
    A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",1939,Passed,"
Comedy, Drama            ",129 min,8.1,"108,482",Frank Capra,"['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold']",$9.60M
247,Gone with the Wind,"
    A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.",1939,Passed,"
Drama, History, Romance            ",238 min,8.1,"294,057",Victor Fleming,"['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",$198.68M
248,It Happened One Night,"
    A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",1934,Approved,"
Comedy, Romance            ",105 min,8.1,"95,773",Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",$4.36M
249,The Passion of Joan of Arc,"
    In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",1928,Passed,"
Biography, Drama, History            ",114 min,8.1,"49,005",Carl Theodor Dreyer,"['Maria Falconetti', 'Eugene Silvain', 'André Berley', 'Maurice Schutz']",$0.02M
250,The General,"
    When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",1926,Passed,"
Action, Adventure, Comedy            ",67 min,8.1,"82,596",Clyde Bruckman,"['Buster Keaton', 'Marion Mack', 'Glen Cavender', 'Jim Farley']",$1.03M
